2020-04-01 14:00:51:051 info: User: aadlercr | Method: GET | To: /api/blogs/13 | Query: {}
2020-04-01 14:00:52:052 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/132 | Query: {"page":"1"}
2020-04-01 14:00:55:055 info: User: aadlercr | Method: GET | To: /api/blogs/15 | Query: {}
2020-04-01 14:00:55:055 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/252 | Query: {"page":"1"}
2020-04-01 14:00:57:057 info: User: aadlercr | Method: GET | To: /api/blogs/18 | Query: {}
2020-04-01 14:00:57:057 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/261 | Query: {"page":"1"}
2020-04-01 14:01:03:13 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"testing commenting","threadId":261,"originLink":"/forum/18","OPAuthorId":1}
2020-04-01 14:01:08:18 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 14:01:08:18 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 14:01:08:18 info: User: aadlercr | Method: GET | To: /api/blogs/18 | Query: {}
2020-04-01 14:01:08:18 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/261 | Query: {"page":"1"}
2020-04-01 14:01:10:110 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"test","threadId":351,"originLink":"/forum/18","OPAuthorId":1}
2020-04-01 14:02:42:242 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 14:02:42:242 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 14:02:42:242 info: User: aadlercr | Method: GET | To: /api/blogs/18 | Query: {}
2020-04-01 14:02:42:242 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/261 | Query: {"page":"1"}
2020-04-01 14:03:15:315 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 14:03:38:338 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 14:03:39:339 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 14:03:39:339 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 14:03:51:351 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 14:03:56:356 info: User: aadlercr | Method: GET | To: /api/projects | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 14:03:57:357 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 14:03:58:358 info: User: aadlercr | Method: GET | To: /api/blogs/22 | Query: {}
2020-04-01 14:03:58:358 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/289 | Query: {"page":"1"}
2020-04-01 14:04:01:41 info: User: aadlercr | Method: GET | To: /api/blogs/13 | Query: {}
2020-04-01 14:04:02:42 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/132 | Query: {"page":"1"}
2020-04-01 14:04:04:44 info: User: aadlercr | Method: GET | To: /api/blogs/15 | Query: {}
2020-04-01 14:04:04:44 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/252 | Query: {"page":"1"}
2020-04-01 14:04:07:47 info: User: aadlercr | Method: GET | To: /api/blogs/15 | Query: {}
2020-04-01 14:04:08:48 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/252 | Query: {"page":"1"}
2020-04-01 14:04:23:423 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 14:04:23:423 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 14:04:23:423 info: User: aadlercr | Method: GET | To: /api/blogs/15 | Query: {}
2020-04-01 14:04:24:424 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/252 | Query: {"page":"1"}
2020-04-01 14:06:07:67 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 14:06:07:67 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 14:06:07:67 info: User: aadlercr | Method: GET | To: /api/blogs/15 | Query: {}
2020-04-01 14:06:07:67 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/252 | Query: {"page":"1"}
2020-04-01 14:06:15:615 info: User: aadlercr | Method: GET | To: /api/blogs/20 | Query: {}
2020-04-01 14:06:15:615 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/269 | Query: {"page":"1"}
2020-04-01 14:06:18:618 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"test","threadId":269,"originLink":"/forum/20","OPAuthorId":1}
2020-04-01 14:06:23:623 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"123","threadId":353,"originLink":"/forum/20","OPAuthorId":1}
2020-04-01 14:06:25:625 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 14:06:25:625 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 14:06:25:625 info: User: aadlercr | Method: GET | To: /api/blogs/20 | Query: {}
2020-04-01 14:06:25:625 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/269 | Query: {"page":"1"}
2020-04-01 14:06:35:635 info: User: aadlercr | Method: GET | To: /api/projects | Query: {"page":"1","order":"popular","reverse":"false"}
